mA,V,time
490.20000000000005,4.82,1581721605.9771986
490.70000000000005,4.82,1581721606.0429316
490.5,4.82,1581721606.1088965
490.40000000000003,4.82,1581721606.1742477
490.20000000000005,4.82,1581721606.23992
490.5,4.82,1581721606.3058286
490.40000000000003,4.82,1581721606.3715484
490.3,4.82,1581721606.4375439
490.3,4.82,1581721606.5031636
489.5,4.82,1581721606.5707333
490.5,4.82,1581721606.6363697
490.3,4.82,1581721606.7022715
490.5,4.82,1581721606.767953
490.6,4.82,1581721606.834367
490.40000000000003,4.82,1581721606.900174
490.90000000000003,4.82,1581721606.9659746
491.0,4.82,1581721607.0315747
491.0,4.82,1581721607.0967932
490.0,4.82,1581721607.162649
489.90000000000003,4.82,1581721607.2283115
514.6,4.82,1581721607.2946148
516.5,4.82,1581721607.3602657
490.8,4.82,1581721607.4260032
490.5,4.82,1581721607.4917057
490.40000000000003,4.82,1581721607.5582035
490.5,4.82,1581721607.6238382
490.3,4.82,1581721607.6893976
490.6,4.82,1581721607.754758
490.3,4.82,1581721607.820306
490.3,4.82,1581721607.8862355
490.40000000000003,4.82,1581721607.9518402
490.5,4.82,1581721608.0183241
490.0,4.82,1581721608.0841067
491.3,4.82,1581721608.1495562
489.70000000000005,4.82,1581721608.2155843
490.40000000000003,4.82,1581721608.2806835
490.5,4.82,1581721608.3466113
490.20000000000005,4.82,1581721608.4125352
540.0,4.82,1581721608.4778602
520.0,4.82,1581721608.543647
490.1,4.82,1581721608.609552
490.0,4.82,1581721608.675342
490.0,4.82,1581721608.7414784
490.20000000000005,4.82,1581721608.807205
490.1,4.82,1581721608.872876
489.70000000000005,4.82,1581721608.9392977
489.8,4.82,1581721609.0040095
489.70000000000005,4.82,1581721609.069849
490.1,4.82,1581721609.1355696
490.0,4.82,1581721609.2020898
489.90000000000003,4.82,1581721609.2678893
490.5,4.82,1581721609.3334408
490.20000000000005,4.82,1581721609.3990738
489.70000000000005,4.82,1581721609.4644365
490.0,4.82,1581721609.5301242
490.70000000000005,4.82,1581721609.5958648
490.40000000000003,4.82,1581721609.6620648
489.70000000000005,4.82,1581721609.7277193
489.90000000000003,4.82,1581721609.7935972
490.20000000000005,4.82,1581721609.85905
489.6,4.82,1581721609.9255416
490.5,4.82,1581721609.9910812
490.20000000000005,4.82,1581721610.0572553
490.20000000000005,4.82,1581721610.1224103
490.40000000000003,4.82,1581721610.1881242
490.8,4.82,1581721610.2538273
490.6,4.82,1581721610.3194718
490.6,4.82,1581721610.3860493
490.3,4.82,1581721610.4516766
490.3,4.82,1581721610.5174344
489.5,4.82,1581721610.5830326
490.20000000000005,4.82,1581721610.6482847
490.40000000000003,4.82,1581721610.7141464
490.20000000000005,4.82,1581721610.7799609
491.0,4.82,1581721610.846331
490.20000000000005,4.82,1581721610.9121323
490.3,4.82,1581721610.977918
490.5,4.82,1581721611.0436685
490.40000000000003,4.82,1581721611.1086113
490.0,4.82,1581721611.1744502
534.8000000000001,4.82,1581721611.2401845
526.3000000000001,4.82,1581721611.3064551
490.0,4.82,1581721611.3721106
490.0,4.82,1581721611.4378905
490.0,4.82,1581721611.5037987
489.70000000000005,4.82,1581721611.568928
491.0,4.82,1581721611.6349285
490.0,4.82,1581721611.6995811
490.3,4.82,1581721611.7654736
490.40000000000003,4.82,1581721611.832447
490.20000000000005,4.82,1581721611.8983073
491.1,4.82,1581721611.9635093
490.5,4.82,1581721612.0302908
490.40000000000003,4.82,1581721612.095265
490.3,4.82,1581721612.1612222
490.5,4.82,1581721612.226641
492.40000000000003,4.82,1581721612.3074045
490.8,4.82,1581721612.357145
490.8,4.82,1581721612.4237444
490.20000000000005,4.82,1581721612.4896972
490.40000000000003,4.82,1581721612.5554812
490.20000000000005,4.82,1581721612.6220598
490.5,4.82,1581721612.6874862
490.0,4.82,1581721612.7542002
490.0,4.82,1581721612.819476
490.5,4.82,1581721612.8842416
490.20000000000005,4.82,1581721612.9508638
489.8,4.82,1581721613.015719
490.0,4.82,1581721613.082611
489.90000000000003,4.82,1581721613.148035
490.40000000000003,4.82,1581721613.2141426
490.5,4.82,1581721613.278799
490.1,4.82,1581721613.3453429
490.3,4.82,1581721613.4113903
489.90000000000003,4.82,1581721613.4767761
490.3,4.82,1581721613.5427015
490.90000000000003,4.82,1581721613.60827
490.70000000000005,4.82,1581721613.6743855
490.70000000000005,4.82,1581721613.7396152
490.70000000000005,4.82,1581721613.8054838
489.70000000000005,4.82,1581721613.8714707
490.20000000000005,4.82,1581721613.9374678
528.8000000000001,4.82,1581721614.0027633
531.8000000000001,4.82,1581721614.0687587
490.40000000000003,4.82,1581721614.1339657
490.5,4.82,1581721614.2003636
490.70000000000005,4.82,1581721614.266065
490.6,4.82,1581721614.3314028
491.1,4.82,1581721614.3974686
490.5,4.82,1581721614.4633381
490.70000000000005,4.82,1581721614.529445
491.0,4.82,1581721614.5942047
490.70000000000005,4.82,1581721614.6601915
490.70000000000005,4.82,1581721614.7260005
490.40000000000003,4.82,1581721614.791483
490.5,4.82,1581721614.8577833
490.40000000000003,4.82,1581721614.9236324
490.40000000000003,4.82,1581721614.988843
490.3,4.82,1581721615.054904
490.6,4.82,1581721615.120592
490.6,4.82,1581721615.1864686
490.70000000000005,4.82,1581721615.2520502
490.1,4.82,1581721615.3177602
490.1,4.82,1581721615.3836827
490.20000000000005,4.82,1581721615.4498057
490.40000000000003,4.82,1581721615.5151522
489.40000000000003,4.82,1581721615.5810566
490.40000000000003,4.82,1581721615.6463683
490.6,4.82,1581721615.7126744
490.40000000000003,4.82,1581721615.7779186
490.1,4.82,1581721615.8444736
490.40000000000003,4.82,1581721615.9098425
490.20000000000005,4.82,1581721615.9763205
490.3,4.82,1581721616.041156
490.40000000000003,4.82,1581721616.1076133
490.70000000000005,4.82,1581721616.1730459
489.90000000000003,4.82,1581721616.23838
490.1,4.82,1581721616.304408
489.40000000000003,4.82,1581721616.3710296
489.70000000000005,4.82,1581721616.4356723
490.40000000000003,4.82,1581721616.5021808
490.40000000000003,4.82,1581721616.56765
490.20000000000005,4.82,1581721616.633635
490.5,4.82,1581721616.6996372
