task,time
start v1 0,1581721695.894707
click,1581721704.4920309
click,1581721706.3813064
click,1581721708.2586021
click,1581721711.309269
stop v1 0,1581721715.0742507
start v2 0,1581721745.109167
click,1581721755.3763428
click,1581721756.5969253
click,1581721757.542477
click,1581721758.4691737
click,1581721759.4195576
click,1581721760.317986
stop v2 0,1581721763.4277465
start v1 1,1581721793.4519362
click,1581721802.0295148
click,1581721803.967123
click,1581721805.7124355
click,1581721807.3849866
stop v1 1,1581721811.1484747
start v2 1,1581721841.1733954
click,1581721850.9443736
click,1581721852.1131527
click,1581721853.0257092
click,1581721853.9669445
stop v2 1,1581721858.7298675
start v1 2,1581721888.765085
click,1581721904.620053
click,1581721906.6968925
click,1581721908.3546681
click,1581721910.0464377
stop v1 2,1581721913.8074305
start v2 2,1581721943.8305078
click,1581721953.39116
click,1581721954.5993156
click,1581721955.5158987
click,1581721956.399949
click,1581721957.4123673
click,1581721958.302783
stop v2 2,1581721961.0427988
start v1 3,1581721991.0772538
click,1581721999.3271065
click,1581722001.3446922
click,1581722003.0865972
click,1581722004.8299844
stop v1 3,1581722008.5689704
start v2 3,1581722038.603359
click,1581722047.9703276
click,1581722049.2013447
click,1581722050.136265
click,1581722050.9856787
click,1581722051.840218
click,1581722052.7345593
stop v2 3,1581722055.5390859
