mA,V,time
-0.2,0.06,1581626097.816257
-0.1,0.06,1581626097.8816266
-0.2,0.06,1581626097.947511
-0.2,0.06,1581626098.0130384
-0.1,0.06,1581626098.0789814
-0.1,0.06,1581626098.1444535
-0.1,0.06,1581626098.2104127
-0.2,0.06,1581626098.2763836
-0.1,0.06,1581626098.3417933
-0.1,0.06,1581626098.4078045
-0.1,0.06,1581626098.4732788
-0.2,0.06,1581626098.5391502
-0.1,0.06,1581626098.6044838
-0.2,0.06,1581626098.6707075
-0.1,0.06,1581626098.7361882
-0.2,0.06,1581626098.802168
-0.1,0.06,1581626098.8675447
-0.1,0.06,1581626098.9363918
-0.1,0.06,1581626099.0016878
-0.1,0.06,1581626099.067178
-0.2,0.06,1581626099.1330655
-0.1,0.06,1581626099.1978834
-0.1,0.06,1581626099.2647796
-0.1,0.06,1581626099.3290212
-0.1,0.06,1581626099.3953412
-0.1,0.06,1581626099.4609637
-0.1,0.06,1581626099.5270047
-0.2,0.06,1581626099.5925584
-0.1,0.06,1581626099.658847
-0.1,0.06,1581626099.7237
-0.2,0.06,1581626099.789927
-0.2,0.06,1581626099.8552277
-0.1,0.06,1581626099.9210856
-0.1,0.06,1581626099.9870038
-0.1,0.06,1581626100.0524547
-0.1,0.06,1581626100.1185534
-0.1,0.06,1581626100.1852653
-0.2,0.06,1581626100.2502072
-0.1,0.06,1581626100.315576
-0.2,0.06,1581626100.3813071
-0.2,0.06,1581626100.4474134
-0.1,0.06,1581626100.512624
-0.1,0.06,1581626100.5786436
-0.2,0.06,1581626100.6444683
-0.2,0.06,1581626100.7102203
-0.1,0.06,1581626100.77573
-0.2,0.06,1581626100.841555
-0.1,0.06,1581626100.9073563
-0.1,0.06,1581626100.9724636
-0.2,0.06,1581626101.03884
-0.2,0.06,1581626101.1048403
-0.1,0.06,1581626101.1702077
-0.1,0.06,1581626101.2360125
-0.1,0.06,1581626101.3021219
-0.1,0.06,1581626101.3675125
-0.2,0.06,1581626101.432598
-0.2,0.06,1581626101.4983108
-0.1,0.06,1581626101.564919
-0.1,0.06,1581626101.6303709
-0.2,0.06,1581626101.6958196
-0.2,0.06,1581626101.7623987
-0.1,0.06,1581626101.8270614
-0.2,0.06,1581626101.8927066
-0.2,0.06,1581626101.95907
-0.2,0.06,1581626102.0248392
-0.1,0.06,1581626102.0900102
-0.1,0.06,1581626102.1570683
-0.1,0.06,1581626102.221728
-0.1,0.06,1581626102.2872586
-0.2,0.06,1581626102.3528724
-0.2,0.06,1581626102.4198406
-0.2,0.06,1581626102.484616
-0.2,0.06,1581626102.5493135
-0.1,0.06,1581626102.616785
-0.1,0.06,1581626102.6817255
-0.1,0.06,1581626102.7479527
