mA,V,time
-0.2,4.872,1581620238.1895533
-0.2,4.872,1581620238.2554224
-0.2,4.872,1581620238.3210783
-0.1,4.872,1581620238.3866675
-0.2,4.872,1581620238.452309
-0.1,4.872,1581620238.5181487
-0.1,4.872,1581620238.5852344
-0.2,4.872,1581620238.6510522
-0.2,4.872,1581620238.7179055
-0.1,4.872,1581620238.7827852
-0.2,4.872,1581620238.8485112
-0.1,4.872,1581620238.9150789
-0.1,4.872,1581620238.9808621
-0.2,4.872,1581620239.046624
-0.2,4.872,1581620239.1122496
-0.2,4.872,1581620239.1777492
-0.2,4.872,1581620239.2435577
-0.1,4.872,1581620239.3091502
-0.1,4.872,1581620239.374447
-0.1,4.872,1581620239.4402876
-0.2,4.872,1581620239.5062213
-0.1,4.872,1581620239.571928
-0.1,4.872,1581620239.6382504
-0.2,4.872,1581620239.7029088
-0.2,4.872,1581620239.7687566
-0.1,4.872,1581620239.835417
-0.1,4.872,1581620239.901129
-0.1,4.872,1581620239.9669156
-0.2,4.872,1581620240.031777
-0.2,4.872,1581620240.0981202
-0.1,4.872,1581620240.163881
-0.2,4.872,1581620240.2296095
-0.2,4.872,1581620240.2953506
-0.1,4.872,1581620240.360713
-0.1,4.872,1581620240.426457
-0.2,4.872,1581620240.4922168
-0.2,4.872,1581620240.5574172
-0.1,4.872,1581620240.6232784
-0.2,4.872,1581620240.689163
-0.2,4.872,1581620240.7548993
-0.2,4.872,1581620240.8211412
-0.1,4.872,1581620240.8860502
-0.2,4.872,1581620240.9518435
-0.2,4.872,1581620241.0175617
-0.2,4.872,1581620241.0838149
-0.2,4.872,1581620241.1494412
-0.2,4.872,1581620241.2154818
-0.2,4.872,1581620241.2805226
-0.2,4.872,1581620241.3463912
-0.2,4.872,1581620241.4120474
-0.2,4.872,1581620241.4778836
-0.2,4.872,1581620241.5434022
-0.2,4.872,1581620241.6091156
-0.2,4.872,1581620241.6748893
-0.2,4.872,1581620241.7412913
-0.2,4.872,1581620241.8072338
-0.2,4.872,1581620241.873013
-0.1,4.872,1581620241.9387252
-0.2,4.872,1581620242.0039744
-0.2,4.872,1581620242.0697963
-0.1,4.872,1581620242.1356883
-0.2,4.872,1581620242.2015605
-0.2,4.872,1581620242.2667947
-0.2,4.872,1581620242.3324625
-0.2,4.872,1581620242.3983793
-0.2,4.872,1581620242.4646585
-0.1,4.872,1581620242.5302455
-0.2,4.872,1581620242.596059
-0.2,4.872,1581620242.6619039
-0.2,4.872,1581620242.727212
-0.1,4.872,1581620242.7930598
-0.2,4.872,1581620242.8586724
-0.2,4.872,1581620242.9242005
-0.2,4.872,1581620242.9899836
-0.2,4.872,1581620243.055992
-0.1,4.872,1581620243.1216812
