task,time
start v1 0,1581369467.3391416
click,1581369476.0321245
click,1581369478.0507598
click,1581369480.0962515
click,1581369481.8361835
stop v1 0,1581369485.794779
start v2 0,1581369515.8294556
click,1581369525.7906294
click,1581369527.0189939
click,1581369528.0734212
click,1581369529.0019472
click,1581369530.1202087
click,1581369531.0955658
stop v2 0,1581369534.365096
start v1 1,1581369564.3998072
click,1581369573.9637856
click,1581369576.1557803
click,1581369578.2168746
click,1581369580.303826
stop v1 1,1581369584.567338
start v2 1,1581369614.602042
click,1581369624.2497146
click,1581369625.4723315
click,1581369626.4600573
click,1581369627.6285996
click,1581369628.6020849
click,1581369629.608105
stop v2 1,1581369632.8932521
start v1 2,1581369662.9280894
click,1581369672.576819
click,1581369674.6426306
click,1581369676.4924798
click,1581369680.4552038
stop v1 2,1581369684.8238537
start v2 2,1581369714.8585289
click,1581369726.5291493
click,1581369729.125631
click,1581369730.136475
click,1581369731.1426964
stop v2 2,1581369734.667114
start v1 3,1581369764.7018483
click,1581369773.9182634
click,1581369776.478931
click,1581369778.8138003
click,1581369781.1756117
stop v1 3,1581369785.1948295
start v2 3,1581369815.229528
click,1581369828.7056756
click,1581369829.888053
click,1581369830.8548777
click,1581369831.9513938
click,1581369833.0544372
click,1581369834.085131
stop v2 3,1581369837.4096751
